id,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
50,False,mp-1091384,NbTl3S4,Cubic,I-43m,217,8,0.0,-0.897040353750004,True,231.91603784571095,5.9737773623145145,2.4579999999999997,False,False,NM,0.0,,,,,,,,,,,,0.21719000000000008,22.18063718,15.541886560000004,
51,False,mp-1672,CaS,Cubic,Fm-3m,225,2,0.0,-2.4356079989062493,True,46.414057530527266,2.5810342007468723,2.3819,False,False,NM,0.0,,,,,,,0.191,,,,,,12.091625876473438,7.103290626469776,
52,False,mp-5840,LiScO2,Tetragonal,I4_1/amd,141,8,0.0,-3.342469784583333,True,81.21445464830744,3.4307219792216075,3.904,False,False,NM,0.0,,,,,,,1.287,,,,,,25.496257790004194,21.23963689333753,
53,False,mp-2667,CsAu,Cubic,Pm-3m,221,2,0.0,-0.3651830700000005,True,78.55971856017129,6.97259852405392,1.0232999999999999,False,False,NM,0.0,,,,,,,0.009,,,,,,10.205225480000003,5.214699086666666,
54,False,mp-22922,AgCl,Cubic,Fm-3m,225,2,0.0,-0.5684399337500015,True,42.630581348524416,5.582622712233539,0.9522000000000002,False,False,NM,0.0,,,,,,,0.242,,,,,,11.41491176275674,5.661743849423442,
55,False,mp-22897,HgCl,Tetragonal,I4/mmm,139,4,0.0,-0.6212518125000024,True,113.267339996862,6.920946901522058,2.7243000000000004,False,False,NM,0.0,,,,,,,3.559,,,,,,17.39865088673694,12.963808796730106,
56,False,mp-648,Na2S,Cubic,Fm-3m,225,3,0.0,-1.2689239159375003,True,68.60267970013784,1.8890808023843084,2.4399,True,False,NM,0.0,,,,,,,0.0,,,,,,7.035895999008646,3.5297027666300225,
57,False,mp-3980,LiSbF6,Trigonal,R-3,148,8,0.0,-2.8701325497916663,True,98.05621152520868,4.1098730660891665,4.933400000000001,True,False,NM,0.0,,,,,,,,,,,,,5.019051306670295,3.013704113336963,
58,False,mp-28145,Rb2PdCl6,Cubic,Fm-3m,225,9,0.0,-1.5750569105555552,True,245.20533574991225,3.3187954732734357,1.2868,False,False,NM,0.0,,,,,,,0.121,,,,,,7.1152349033395135,3.7091475966728793,
59,False,mp-1170,SnS2,Trigonal,P-3m1,164,3,0.0,-0.4733284918749992,True,72.82621589710445,4.169006438095262,1.5147999999999997,False,False,NM,0.0,,,,,,,56.147,,,,,,16.000249023170376,7.196048743170375,
